id,object_type,slug,seo_title,seo_description,is_pillar_content,focus_keyword,seo_score,robots,advanced_robots,canonical_url,primary_term,schema_data,social_facebook_thumbnail,social_facebook_title,social_facebook_description,social_twitter_thumbnail,social_twitter_title,social_twitter_description,redirect_to,redirect_type
2,post,homepage,Gamma | Good together - Empowering good business,,no,gamma,91,index,,,,,,,,,,,,
3,post,privacy-policy,,,no,,20,index,,,,,,,,,,,,
202,post,gamma-difference,,,no,Gamma difference,55,index,,,,,,,,,,,,
215,post,,,"Gamma Communications brengt mensen samen dankzij toonaangevende communicatie-oplossingen, aansluitend op de wensen van jouw organisatie.",no,Gamma,25,index,,,,,,,,,,,,
239,post,solutions-page,,,no,,25,index,,,,,,,,,,,,
463,post,contact-sales-old,,,no,,13,index,,,,,,,,,,,,
495,post,oplossingen,,Gamma is een specialist in bedrijfscommunicatie en IT-services. Onze zakelijke dienstverlening werkt slimmer en effectiever. Vind hier meer informatie.,no,Business solutions,16,index,,,,,,,,,,,,
498,post,,,"Gamma Communications brengt mensen samen dankzij toonaangevende communicatie-oplossingen, aansluitend op de wensen van jouw organisatie.",no,Gamma,5,index,,,,,,,,,,,,
544,post,producten,,"Gamma Communicatoins, d� specialist op het gebied van interne en exterene communicatie. Een breed scala aan oplossingen.",no,elements,70,index,,,,,,,,,,,,
709,post,return-on-relationships-wp,,,no,,12,index,,,,,,,,,,,,
725,post,thank-you-page,,,no,,20,"noindex,nosnippet,noarchive",,,,,,,,,,,,
771,post,,,"Gamma Communications brengt mensen samen dankzij toonaangevende communicatie-oplossingen, aansluitend op de wensen van jouw organisatie.",no,Gamma,12,index,,,,,,,,,,,,
858,post,good-together,,,no,Good together,73,index,,,,,,,,,,,,
953,post,support,,Gamma Communications Support afdeling. Alle meest voorkomende vragen omtrent bedrijfscommunicatieoplossingen. We helpen je graag!,no,,24,index,,,,,,,,,,,,
969,post,,,"Gamma Communications brengt mensen samen dankzij toonaangevende communicatie-oplossingen, aansluitend op de wensen van jouw organisatie.",no,Gamma,6,index,,,,,,,,,,,,
998,post,nuisance-and-scam-calls,,,no,,22,index,,,,,,,,,,,,
1046,post,modules,,,no,,22,"index,nofollow",,,,,,,,,,,,
1157,post,resources,,,no,,7,index,,,,,,,,,,,,
2029,post,landing-page-demo,,,no,,18,,,,,,,,,,,,,
3833,post,esg-pb,,,no,,9,,,,,,,,,,,,,
3849,post,policies,,,no,,4,,,,,,,,,,,,,
4110,post,find-a-partner,,Vind een van onze partners! Wij werken uitsluitend en nauw samen vanuit een uitgebreid netwerk met onze persoonlijke aanpak.,no,,10,,,,,,,,,,,,,
4184,post,partner-programme-benefits-demo,,,no,,13,,,,,,,,,,,,,
5858,post,,,"Gamma Communications brengt mensen samen dankzij toonaangevende communicatie-oplossingen, aansluitend op de wensen van jouw organisatie.",no,Gamma,6,index,,,,,,,,,,,,
10532,post,network-coverage,,,no,,8,index,,,,,,,,,,,,
11559,post,case-study-request-form-v2,,,no,,8,,,,,,,,,,,,,
13006,post,careers-draft,,,no,,23,,,,,,,,,,,,,
15472,post,value-of-voice,,,no,,8,,,,,,,,,,,,,
15624,post,,,"Gamma Communications brengt mensen samen dankzij toonaangevende communicatie-oplossingen, aansluitend op de wensen van jouw organisatie.",no,Gamma,9,,,,,,,,,,,,,
15842,post,,,"Gamma Communications brengt mensen samen dankzij toonaangevende communicatie-oplossingen, aansluitend op de wensen van jouw organisatie.",no,Gamma,7,,,,,,,,,,,,,
15994,post,test-2,,,no,,11,,,,,,,,,,,,,
16439,post,gf-test-18-06,,,no,,8,,,,,,,,,,,,,
17575,post,gamma-maakt-positieve-resultaten-bekend-over-2020,Gamma komt met positieve resultaten over 2020!,De resultaten van 2020 zijn binnen. Gamma kan met vol trots mededelen dat er een gestage groei is die voorlopig niet zal stagneren.,no,,30,,,,,,,,,,,,,
17577,post,benoeming-van-ceo-en-cfo-bij-gamma-communications-benelux,Ontmoet de nieuwe CEO en CFO van Gamma Communications,"Gamma Communications Benelux heeft een nieuwe directie. Succesvolle aanbieder in ICT-oplossingen in VK, Nederland en Spanje.",no,,30,,,,,,,,,,,,,
17578,post,gntel-en-dean-one-gaan-samen-verder-als-gamma-communications-nl,Gntel & Deanone gaan verder als Gamma Communications!,"GnTel en Dean One, onmiskenbaar binnen de MKB-bedrijfscommunicatie. Vanaf 6 september bekend als: Gamma Communications Nederland.",no,,30,,,,,,,,,,,,,
17579,post,gamma-communications-lanceert-operator-connect-voor-microsoft-teams-voor-nederlandse-partners-en-mkb-klanten,,,no,,30,,,,,,,,,,,,,
17580,post,gamma-maakt-positieve-resultaten-over-2021-bekend,,,no,,30,,,,,,,,,,,,,
17581,post,t-mobile-en-gamma-communications,,,no,,90,,,,,,,,,,,,,
17583,post,microsoft-teams-operator-connect,,Haal het maximale uit Microsoft Teams met Gamma en voeg eenvoudig en snel de spraakmogelijkheden van Operator Connect toe. Klik hier voor meer details.,no,unified communications,60,,,,,,,,,,,,,
17584,post,rick-van-schaik-start-als-cco-bij-gamma-communications-benelux,,,no,,30,,,,,,,,,,,,,
17585,post,copaco-breidt-portfolio-uit-met-operator-connect-van-gamma-communications,,,no,,90,,,,,,,,,,,,,
17586,post,gamma-communications-kiest-voor-roger365-io-voor-optimaal-klantcontact-in-teams,,,no,,60,,,,,,,,,,,,,
17587,post,gamma-kondigt-positieve-resultaten-aan-over-2022,,,no,,30,,,,,,,,,,,,,
17588,post,gamma-communications-maakt-microsoft-teams-operator-connect-nu-ook-beschikbaar-in-belgie,,,no,,90,,,,,,,,,,,,,
